FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150909;1400;0,358334;;;
150909;1500;0,1;;;
150909;1600;0,1;;;
150909;1700;0,1;;;
150909;1800;0,1;;;
150909;1900;0,1;;;
150909;2000;0,1;;;
150909;2100;0,1;;;
150909;2200;0,1;;;
150909;2300;0,1;;;
150910;0000;0,1;;;
150910;0100;0,1;;;
150910;0200;0,1;;;
150910;0300;0,1;;;
150910;0400;0,1;;;
150910;0500;0,1;;;
150910;0600;0,1;;;
150910;0700;0,1;;;
150910;0800;0,1;;;
150910;0900;0,1;;;
150910;1000;0,1;;;
150910;1100;0,1;;;
150910;1200;0,1;;;
150910;1300;0,1;;;
150910;1400;0,1;;;
150910;1500;0,1;;;
150910;1600;0,1;;;
150910;1700;0,1;;;
150910;1800;0,1;;;
150910;1900;0,1;;;
150910;2000;0,1;;;
150910;2100;0,1;;;
150910;2200;0,1;;;
150910;2300;0,1;;;
150911;0000;0,1;;;
150911;0100;0,1;;;
150911;0200;0,1;;;
150911;0300;0,1;;;
150911;0400;0,1;;;
150911;0500;0,1;;;
150911;0600;0,1;;;
150911;0700;0,1;;;
150911;0800;0,1;;;
150911;0900;0,1;;;
150911;1000;0,1;;;
150911;1100;0,1;;;
150911;1200;0,1;;;
150911;1300;0,1;;;
150911;1400;0,1;;;
150911;1500;0,1;;;
150911;1600;0,1;;;
150911;1700;0,1;;;
150911;1800;0,1;;;
150911;1900;0,1;;;
150911;2000;0,1;;;
150911;2100;0,1;;;
150911;2200;0,1;;;
150911;2300;0,150001;;;
150912;0000;0,1;;;
150912;0100;0,1;;;
150912;0200;0,1;;;
150912;0300;0,1;;;
150912;0400;0,1;;;
150912;0500;0,1;;;
150912;0600;0,1;;;
150912;0700;0,1;;;
150912;0800;0,1;;;
150912;0900;0,1;;;
150912;1000;0,1;;;
150912;1100;0,1;;;
150912;1200;0,1;;;
150912;1300;;0,1;;
150912;1400;;;9,14091;
150912;1500;0,158334;;;
150912;1600;0,166667;;;
150912;1700;0,191668;;;
150912;1800;0,408334;;;
150912;1900;0,533335;;;
150912;2000;0,616669;;;
150912;2100;0,416668;;;
150912;2200;0,383334;;;
150912;2300;0,291668;;;
150913;0000;0,308334;;;
150913;0100;0,208333;;;
150913;0200;0,166667;;;
150913;0300;0,141667;;;
150913;0400;0,1;;;
150913;0500;0,1;;;
150913;0600;0,1;;;
150913;0700;0,1;;;
150913;0800;0,133333;;;
150913;0900;0,183333;;;
150913;1000;0,233334;;;
150913;1100;0,191668;;;
150913;1200;0,191668;;;
150913;1300;0,200001;;;
150913;1400;0,183333;;;
150913;1500;0,208333;;;
150913;1600;0,250001;;;
150913;1700;0,391668;;;
150913;1800;0,391668;;;
150913;1900;0,566669;;;
150913;2000;0,350001;;;
150913;2100;0,358334;;;
150913;2200;0,241668;;;
150913;2300;0,208333;;;
150914;0000;0,200001;;;
150914;0100;0,233334;;;
150914;0200;0,141667;;;
150914;0300;0,1;;;
150914;0400;0,175;;;
150914;0500;0,141667;;;
150914;0600;0,525002;;;
150914;0700;0,458334;;;
150914;0800;0,583335;;;
150914;0900;0,608335;;;
150914;1000;;;8,75308;
