Años,1990,,,1992,,,1994,,,1996,,,1998,,,2000,,,2003,,,2006,,,2009,,,2011,,,2013,,,2015,,,2017,,
Sexo,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta,Población de 18 a 24 años que asiste,Población de 18 a 24 años,Tasa Neta
Hombre,"116,418","843,766",13.8,"114,119","855,431",13.3,"168,883","882,106",19.1,"190,600","880,388",21.6,"176,941","862,279",20.5,"199,600","871,229",22.9,"254,938","956,945",26.6,"268,702","996,810",27,"296,065","1,060,946",27.9,"365,277","1,119,651",32.6,"367,795","1,056,015",34.8,"378,768","1,047,536",36.2,"356,929","1,007,760",35.4
Mujer,"105,546","899,005",11.7,"109,234","905,608",12.1,"156,097","916,471",17,"173,490","871,617",19.9,"190,639","906,651",21,"182,913","871,694",21,"237,537","939,131",25.3,"271,668","980,511",27.7,"320,152","1,076,276",29.7,"383,364","1,133,071",33.8,"422,899","1,095,667",38.6,"408,209","1,058,019",38.6,"395,012","1,000,323",39.5
Total,"221,964","1,742,771",12.7,"223,353","1,761,039",12.7,"324,980","1,798,577",18.1,"364,090","1,752,005",20.8,"367,580","1,768,930",20.8,"382,513","1,742,923",21.9,"492,475","1,896,076",26,"540,370","1,977,321",27.3,"616,217","2,137,222",28.8,"748,641","2,252,722",33.2,"790,694","2,151,682",36.7,"786,977","2,105,555",37.4,"751,941","2,008,083",37.4
