Año,Trimestre ,Población en edad de trabajar (Total),Fuerza de trabajo (Total),Ocupados (Total),Desocupados (Total),Desocupados (Cesantes),Desocupados (Buscan trabajo por primera vez),Fuera de la fuerza de trabajo (Total),Fuera de la fuerza de trabajo (Iniciadores),Fuera de la fuerza de trabajo (Inactivos potencialmente activos),Fuera de la fuerza de trabajo (Inactivos habituales),Tasa de desocupación,Tasa de ocupación ,Tasa de participación
,,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,tasa (%),tasa (%),tasa (%)
2012,May -Jul,6680.132001,4938.035932,4652.376294,285.6596376,266.0103704,19.64926721,1742.09607,26.26046645,310.3167338,1405.518869,5.784883738,69.64497548,73.92123286
2012,Jun - Ago,6688.269016,4936.371495,4656.712292,279.6592033,258.1433376,21.51586573,1751.897521,28.05006851,318.1594334,1405.688019,5.665278709,69.6250746,73.80641364
2012,Jul - Sep,6695.918017,4966.589632,4692.170755,274.4188778,252.0661663,22.35271145,1729.328384,24.710035,303.8937996,1400.72455,5.525298003,70.07509266,74.1733937
2012,Ago - Oct,6703.628016,4979.155282,4691.860114,287.2951676,265.99783,21.29733758,1724.472735,25.72895796,292.8376584,1405.906119,5.769957982,69.98986373,74.27553064
2012,Sep - Nov,6711.346001,4982.112152,4712.727283,269.3848693,246.3439968,23.04087245,1729.233849,22.41734905,285.7468318,1421.069668,5.407041453,70.22029981,74.23417227
2012,Oct - Dic,6719.146001,4999.497497,4732.039151,267.4583457,238.2283485,29.2299972,1719.648504,23.98734899,292.7311376,1402.930017,5.349704563,70.42619926,74.40674003
2012,Nov - Ene,6726.862001,5029.736179,4772.27121,257.4649694,218.4871771,38.97779229,1697.125822,34.04038228,306.7334859,1356.351953,5.118856342,70.94349801,74.77091367
2013,Dic - Feb,6734.760001,5041.123293,4769.154729,271.9685639,236.0667873,35.90177665,1693.636708,37.72925614,307.2449589,1348.662493,5.394999251,70.81402646,74.85230792
2013,Ene - Mar,6742.369001,5033.506261,4757.971055,275.5352061,247.9840728,27.55113331,1708.86274,40.1609112,289.498764,1379.203065,5.474021325,70.56823876,74.65486181
2013,Feb - Abr,6750.258003,5043.645244,4765.757658,277.8875862,261.2745546,16.61303162,1706.612759,29.40533128,254.1420502,1423.065377,5.509657654,70.60111859,74.71781437
2013,Mar - May,6757.972002,5037.323711,4751.818742,285.5049696,265.5355793,19.96939023,1720.648291,28.33561255,247.8574329,1444.455245,5.667790794,70.31427092,74.53898462
2013,Abr - Jun,6765.725004,5016.472406,4735.198338,281.274068,259.5851686,21.68889932,1749.252597,24.07177238,249.7638326,1475.416992,5.607009172,69.98804024,74.14537841
2013,May -Jul,6773.487001,5001.520474,4725.24876,276.2717139,255.8547501,20.41696376,1771.966527,25.3863439,273.9210845,1472.659099,5.523754532,69.76094823,73.83967037
2013,Jun - Ago,6781.398,5004.587356,4737.459077,267.1282783,247.8697648,19.25851347,1776.810645,24.12670242,276.6478793,1476.036063,5.337668408,69.859623,73.79875588
2013,Jul - Sep,6789.22,5006.759466,4739.222874,267.5365926,250.3127318,17.22386085,1782.460534,26.48218218,295.5720793,1460.406272,5.343508,69.80511566,73.74572434
2013,Ago - Oct,6796.993,5004.970114,4740.529829,264.4402847,244.3193969,20.12088786,1792.022887,31.36851997,293.3071662,1467.3472,5.283553722,69.74451539,73.63506353
2013,Sep - Nov,6804.802001,5016.688689,4749.541012,267.1476768,249.795866,17.35181078,1788.113312,28.52576469,290.8467506,1468.740797,5.325179483,69.79690242,73.72277236
2013,Oct - Dic,6812.659001,5060.380698,4798.08481,262.2958875,235.1060095,27.18987804,1752.278304,27.15029712,279.8149421,1445.313064,5.183323216,70.42895893,74.27908393
2013,Nov - Ene,6820.334001,5110.232217,4826.008598,284.2236191,246.1372253,38.08639381,1710.101784,19.96009846,283.6694532,1406.472232,5.561853298,70.75912408,74.92642174
2014,Dic - Feb,6828.333,5132.724932,4844.715262,288.0096697,248.9123128,39.09735683,1695.608069,24.20029595,283.0768841,1388.330889,5.611243024,70.95019036,75.16805245
2014,Ene - Mar,6836.058,5116.418996,4810.637596,305.7814,272.3010936,33.48030639,1719.639004,28.74773881,281.3298081,1409.561457,5.976473002,70.37151522,74.84458142
2014,Feb - Abr,6843.964,5102.909576,4804.186021,298.7235552,276.7587762,21.96477898,1741.054424,31.42096186,261.006365,1448.627097,5.853984884,70.19595692,74.56073083
2014,Mar - May,6851.792,5090.33867,4788.462544,301.8761265,278.5730045,23.30312206,1761.45333,34.88202306,267.2215016,1459.349805,5.930374109,69.88628002,74.29207819
2014,Abr - Jun,6859.541,5086.942087,4769.672988,317.2690993,297.1689282,20.10017108,1772.598913,33.33079169,266.6761029,1472.592019,6.236931616,69.53341321,74.15863666
2014,May -Jul,6867.318,5057.04274,4733.354187,323.6885536,304.0146364,19.67391715,1810.27526,36.97768776,283.6581526,1489.63942,6.400747832,68.92580461,73.63926849
2014,Jun - Ago,6875.101,5046.051689,4714.272475,331.7792146,313.4499538,18.32926077,1829.049311,34.414695,289.0980628,1505.536553,6.575026081,68.57022864,73.39603723
2014,Jul - Sep,6882.783,5040.804213,4717.766397,323.0378168,304.7984906,18.23932624,1841.978787,33.0784612,304.8488672,1504.051458,6.40845792,68.54445936,73.23787795
2014,Ago - Oct,6890.542,5064.316258,4750.666204,313.650054,295.9301497,17.71990429,1826.225742,26.9917463,289.3258232,1509.908172,6.193334657,68.9447391,73.49663145
2014,Sep - Nov,6898.308,5101.500189,4804.972696,296.527493,278.3695472,18.15794586,1796.807811,25.15110214,281.5733681,1490.083341,5.81255478,69.65436591,73.95291989
2014,Oct - Dic,6906.106,5134.328586,4840.413055,293.9155308,267.7764593,26.1390715,1771.777414,24.09544933,280.2820985,1467.399866,5.724517352,70.08889026,74.34476948
2014,Nov - Ene,6913.705,5163.778373,4876.3383,287.4400731,258.2079379,29.23213519,1749.926627,26.75335504,292.6796573,1430.493615,5.566468046,70.53147769,74.68901801
2015,Dic - Feb,6921.516,5167.375385,4878.599447,288.775938,261.5513321,27.22460595,1754.140615,29.89771448,297.0831846,1427.159716,5.588445129,70.4845506,74.65669927
2015,Ene - Mar,6929.183,5167.865437,4887.836689,280.0287485,259.5954028,20.43334575,1761.317563,34.71912967,266.2064406,1460.391992,5.418654026,70.53987012,74.58116545
2015,Feb - Abr,6936.993,5156.834692,4870.905013,285.9296783,263.5578953,22.37178303,1780.158308,35.09884216,264.5461272,1480.513339,5.544674115,70.21637492,74.33818503
2015,Mar - May,6944.723,5155.257833,4856.933804,298.3240292,272.6440387,25.6799905,1789.465167,31.7190086,258.2775817,1499.468576,5.786791637,69.93704147,74.23273518
2015,Abr - Jun,6952.418,5144.07741,4838.626893,305.4505171,279.4892387,25.96127842,1808.34059,34.6037716,283.4273105,1490.309508,5.937906699,69.59631732,73.98976025
2015,May -Jul,6960.163,5152.727009,4839.299706,313.427303,289.9529145,23.47438854,1807.435991,30.78534423,296.2602747,1480.390372,6.082746137,69.52853986,74.03170024
2015,Jun - Ago,6968.165,5157.379191,4835.352076,322.0271145,302.3734302,19.65368434,1810.785809,32.84497927,309.3709848,1468.569845,6.244006939,69.39204333,74.01344817
2015,Jul - Sep,6976.335,5190.305477,4868.854862,321.4506152,302.3116839,19.13893129,1786.029523,25.78055039,302.5173552,1457.731617,6.193288942,69.79101293,74.39874199
2015,Ago - Oct,6984.669,5189.226283,4863.840694,325.385589,305.7516343,19.63395466,1795.442717,37.29562953,286.2829249,1471.864162,6.270406631,69.63595117,74.29451966
2015,Sep - Nov,6993.065,5203.875406,4890.005247,313.8701596,292.0963758,21.77378378,1789.189594,36.10468933,276.7165894,1476.368315,6.031469531,69.92649499,74.41480104
2015,Oct - Dic,7001.297,5216.815935,4914.743413,302.0725214,272.5995309,29.47299052,1784.481065,38.92537853,281.1536737,1464.402013,5.790361883,70.19761358,74.51213589
2015,Nov - Ene,7009.672,5245.500435,4959.315137,286.1852982,254.3548863,31.8304119,1764.171565,41.0170384,305.8595942,1417.294932,5.455824506,70.74960336,74.83232361
2016,Dic - Feb,7017.948,5255.186549,4968.042793,287.1437551,256.9632208,30.18053432,1762.761451,44.35251928,294.8647237,1423.544208,5.46400689,70.79053298,74.88209586
2016,Ene - Mar,7026.146,5246.987993,4941.940337,305.0476556,280.1309159,24.91673971,1779.158007,41.08852841,288.5342393,1449.535239,5.813766984,70.33643106,74.67803819
2016,Feb - Abr,7034.583,5251.555528,4931.878991,319.6765368,290.9240421,28.75249464,1783.027472,29.74010141,252.7919417,1500.495429,6.087273287,70.10904542,74.65340202
2016,Mar - May,7042.856,5222.509665,4877.463694,345.0459711,312.8346589,32.21131213,1820.346335,28.45993325,258.7350144,1533.151388,6.606899617,69.25405963,74.15329328
2016,Abr - Jun,7051.096,5216.884042,4863.864723,353.0193198,317.8292879,35.19003183,1834.211958,31.41446257,261.2493626,1541.548132,6.766861538,68.98026523,73.98685314
2016,May -Jul,7059.475,5222.165283,4858.057372,364.107911,335.1862228,28.92168823,1837.309718,30.3154907,265.1209939,1541.873233,6.972355169,68.81612827,73.97384767
2016,Jun - Ago,7069.162,5221.017252,4870.466349,350.5509027,324.1856995,26.36520322,1848.144748,25.34858009,273.7767586,1549.019409,6.714226094,68.89736505,73.85623999
2016,Jul - Sep,7080.12,5236.322835,4891.117105,345.2057305,320.3858149,24.81991564,1843.797165,24.62781563,266.6208896,1552.548459,6.592521916,69.08240404,73.95810855
2016,Ago - Oct,7091.145,5217.330044,4891.318647,326.0113968,301.6015765,24.4098203,1873.814956,27.86539849,278.817447,1567.13211,6.248625142,68.97783993,73.5752836
2016,Sep - Nov,7102.198,5245.266968,4927.726441,317.5405275,290.5609635,26.97956395,1856.931032,35.25767757,275.5882112,1546.085143,6.053848725,69.38311831,73.85413598
2016,Oct - Dic,7113.178,5248.002322,4932.162446,315.8398751,284.7597002,31.0801749,1865.175678,36.41796865,295.1859746,1533.571735,6.018287641,69.33838077,73.77858844
2016,Nov - Ene,7124.25,5291.817883,4962.959555,328.858328,288.8065664,40.05176163,1832.432117,39.38122385,305.4240056,1487.626887,6.214467982,69.66290564,74.27894702
2017,Dic - Feb,7135.296,5292.275333,4949.120968,343.1543648,301.1157291,42.03863564,1843.020667,41.83243047,313.4300011,1487.758236,6.484061074,69.36111645,74.17036844
2017,Ene - Mar,7146.188,5326.446107,4988.91842,337.5276868,300.3965725,37.13111433,1819.741893,43.26606624,286.66145,1489.814377,6.336827221,69.812303,74.5354881
2017,Feb - Abr,7157.21,5318.575797,4978.167179,340.4086178,312.2916716,28.11694623,1838.634203,38.42422792,267.940073,1532.269903,6.400371657,69.55457753,74.31074115
2017,Mar - May,7168.308,5337.935239,4989.451782,348.4834569,320.2302719,28.25318504,1830.372761,37.35299657,253.9761599,1539.043605,6.528431712,69.60431642,74.4657629
2017,Abr - Jun,7179.317,5333.409801,4969.379574,364.030227,334.3411721,29.68905487,1845.907199,38.83635314,274.2069235,1532.863923,6.825468894,69.21799906,74.28854027
2017,May -Jul,7190.408,5327.028939,4963.054187,363.9747521,335.1467742,28.82797782,1863.379061,39.14529599,283.3784438,1540.855321,6.832603243,69.02326248,74.08521101
2017,Jun - Ago,7202.832,5323.928471,4966.025959,357.9025122,327.3165864,30.58592577,1878.903529,34.50637848,296.5699268,1547.827224,6.722526685,68.94546421,73.91437799
2017,Jul - Sep,7216.656,5341.502775,4977.294709,364.2080658,331.9945875,32.21347836,1875.153226,31.06373875,282.2498345,1561.839652,6.818456925,68.96954363,74.01631413
2017,Ago - Oct,7230.535003,5339.339385,4993.775656,345.5637296,312.0732854,33.49044422,1891.195618,35.20550853,294.4263603,1561.563749,6.47203155,69.06509205,73.84431972
2017,Sep - Nov,7244.44801,5370.46907,5024.248117,346.2209528,314.2058127,32.01514016,1873.97894,31.89155661,273.3447063,1568.742677,6.446754432,69.35308404,74.13220527
